"","Location","Confirmed cases","Deaths"
"2","US",47887521,772388
"3","India",34518901,465911
"4","Brazil",22020412,612782
"5","United Kingdom",9942300,144414
"6","Russia",9205431,260319
"7","Turkey",8598380,75235
"8","France",7611366,120853
"9","Iran",6082865,129053
"10","Germany",5448574,99437
"11","Argentina",5315989,116382
"12","Spain",5096538,87832
"13","Colombia",5050255,128138
"14","Italy",4932091,133247
"15","Indonesia",4253598,143744
"16","Mexico",3863362,292471
"17","Ukraine",3501815,86615
"18","Poland",3357763,80830
"19","South Africa",2930174,89584
"20","Philippines",2826853,47288
"21","Malaysia",2591486,30063
"22","Netherlands",2506108,19441
"23","Peru",2225117,200894
"24","Iraq",2075248,23686
"25","Thailand",2071009,20436
"26","Czechia",2003561,32173
"27","Canada",1778420,29579
"28","Romania",1764251,55113
"29","Chile",1745305,38149
"30","Japan",1725894,18345
"31","Belgium",1623560,26669
"32","Bangladesh",1574352,27955
"33","Israel",1341136,8177
"34","Pakistan",1282195,28663
"35","Serbia",1235828,11281
"36","Sweden",1188735,15110
"37","Portugal",1123758,18339
"38","Vietnam",1104835,23951
"39","Slovakia",1081626,13919
"40","Austria",1070419,12042
"41","Kazakhstan",1047495,17681
"42","Hungary",1025697,33172
"43","Cuba",961042,8295
"44","Switzerland",955810,11407
"45","Morocco",948976,14764
"46","Jordan",919173,11377
"47","Greece",886207,17425
"48","Nepal",819386,11500
"49","Georgia",814097,11553
"50","United Arab Emirates",741500,2144
"51","Tunisia",716298,25347
"52","Bulgaria",676750,27507
"53","Lebanon",659404,8645
"54","Belarus",641919,4965
"55","Guatemala",613950,15849
"56","Azerbaijan",574799,7657
"57","Croatia",571707,10376
"58","Costa Rica",565952,7264
"59","Sri Lanka",557361,14158
"60","Saudi Arabia",549518,8826
"61","Ireland",534594,5609
"62","Bolivia",529486,19068
"63","Ecuador",524353,33125
"64","Burma",518471,19034
"65","Panama",476129,7354
"66","Paraguay",462331,16363
"67","West Bank and Gaza",458448,4779
"68","Denmark",458199,2828
"69","Lithuania",456425,6547
"70","Venezuela",425213,5079
"71","Korea, South",420950,3328
"72","Kuwait",413165,2464
"73","Dominican Republic",403438,4190
"74","Slovenia",402083,5080
"75","Uruguay",397990,6115
"76","Mongolia",377674,1948
"77","Honduras",377420,10387
"78","Ethiopia",370332,6693
"79","Libya",368392,5390
"80","Moldova",358857,8869
"81","Egypt",351267,19991
"82","Armenia",334347,7308
"83","Oman",304499,4113
"84","Bahrain",277421,1394
"85","Bosnia and Herzegovina",269904,12309
"86","Kenya",254728,5328
"87","Singapore",253649,667
"88","Latvia",246465,3967
"89","Norway",245302,1002
"90","Qatar",242228,611
"91","Estonia",217784,1746
"92","Nigeria",213589,2974
"93","North Macedonia",212375,7449
"94","Zambia",210073,3667
"95","Algeria",209111,6026
"96","Australia",200651,1968
"97","Albania",196611,3049
"98","Botswana",194652,2416
"99","Uzbekistan",191576,1378
"100","Kyrgyzstan",182884,2727
"101","Finland",177439,1258
